,open,high,low,close,volume,value
2021-05-26 00:00:00,46117000.0,46255000.0,45500000.0,45802000.0,142.18959327,6515989569.7119
2021-05-26 00:10:00,45802000.0,46421000.0,45758000.0,46231000.0,108.99769422,5019433844.15135
2021-05-26 00:20:00,46231000.0,46436000.0,45922000.0,46029000.0,103.49424359,4785490805.06616
2021-05-26 00:30:00,46021000.0,47200000.0,45926000.0,46954000.0,217.65340211,10178033606.05415
2021-05-26 00:40:00,46953000.0,47038000.0,46692000.0,46765000.0,111.94466889,5244116991.92663
2021-05-26 00:50:00,46765000.0,47102000.0,46738000.0,47035000.0,53.2689372,2496020918.07424
2021-05-26 01:00:00,47035000.0,47150000.0,46550000.0,46664000.0,103.57492727,4843036526.54548
2021-05-26 01:10:00,46664000.0,46846000.0,46553000.0,46690000.0,34.53887401,1613462518.66989
2021-05-26 01:20:00,46690000.0,46718000.0,46550000.0,46557000.0,47.84586372,2229894188.6125
2021-05-26 01:30:00,46557000.0,46807000.0,46372000.0,46384000.0,54.304205,2528788759.50315
2021-05-26 01:40:00,46386000.0,46570000.0,46386000.0,46534000.0,35.15760651,1634827431.13066
2021-05-26 01:50:00,46534000.0,46701000.0,46487000.0,46511000.0,30.48590765,1420212688.99556
2021-05-26 02:00:00,46511000.0,46720000.0,46465000.0,46686000.0,24.56103272,1144171985.42387
2021-05-26 02:10:00,46688000.0,46704000.0,46510000.0,46584000.0,28.00754068,1305823498.74101
2021-05-26 02:20:00,46586000.0,46641000.0,46409000.0,46570000.0,23.9945564,1116535965.11511
2021-05-26 02:30:00,46570000.0,46630000.0,46373000.0,46630000.0,24.2063223,1126476057.10905
2021-05-26 02:40:00,46630000.0,46658000.0,46410000.0,46592000.0,17.59899492,819709537.42519
2021-05-26 02:50:00,46592000.0,46658000.0,46449000.0,46651000.0,15.83861803,737525925.03723
2021-05-26 03:00:00,46647000.0,46653000.0,46465000.0,46541000.0,12.1103182,563557961.86946
2021-05-26 03:10:00,46485000.0,46670000.0,46465000.0,46548000.0,16.97889006,791270601.27044
2021-05-26 03:20:00,46579000.0,46899000.0,46548000.0,46861000.0,24.89830258,1162866319.80091
2021-05-26 03:30:00,46861000.0,47000000.0,46733000.0,46811000.0,29.80129153,1397016298.01145
2021-05-26 03:40:00,46811000.0,46944000.0,46581000.0,46656000.0,21.47109436,1003684322.59209
2021-05-26 03:50:00,46656000.0,46744000.0,46567000.0,46639000.0,8.52996995,397840541.23303
2021-05-26 04:00:00,46647000.0,46716000.0,46438000.0,46479000.0,26.89565057,1251042499.18716
2021-05-26 04:10:00,46479000.0,46611000.0,46450000.0,46561000.0,12.31146196,572744898.23408
2021-05-26 04:20:00,46554000.0,46592000.0,46454000.0,46526000.0,14.17925542,659394218.86648
2021-05-26 04:30:00,46526000.0,46684000.0,46300000.0,46334000.0,19.12173549,888033193.15143
2021-05-26 04:40:00,46333000.0,46553000.0,46217000.0,46266000.0,16.85977151,781217541.45456
2021-05-26 04:50:00,46326000.0,46407000.0,46171000.0,46302000.0,32.26026131,1492121801.93524
2021-05-26 05:00:00,46302000.0,46570000.0,46256000.0,46500000.0,23.06362845,1070503456.79144
2021-05-26 05:10:00,46498000.0,46711000.0,46402000.0,46702000.0,22.63740753,1054137246.85479
2021-05-26 05:20:00,46702000.0,46743000.0,46491000.0,46564000.0,23.27029832,1084478955.13916
