,open,high,low,close,volume,value
2018-04-11 00:00:00,7328000.0,7410000.0,7328000.0,7388000.0,339.27560301,2504169082.10417
2018-04-11 00:10:00,7388000.0,7415000.0,7378000.0,7401000.0,172.19093108,1273167027.15206
2018-04-11 00:20:00,7401000.0,7424000.0,7393000.0,7414000.0,163.86110703,1214097390.42461
2018-04-11 00:30:00,7415000.0,7419000.0,7375000.0,7378000.0,177.46847072,1311788965.77405
2018-04-11 00:40:00,7378000.0,7386000.0,7374000.0,7377000.0,101.35454634,747959051.65617
2018-04-11 00:50:00,7377000.0,7386000.0,7371000.0,7376000.0,82.41821505,607938716.18053
2018-04-11 01:00:00,7380000.0,7397000.0,7380000.0,7394000.0,54.8003459,404978625.34479
2018-04-11 01:10:00,7394000.0,7394000.0,7378000.0,7393000.0,42.44638874,313437665.81517
2018-04-11 01:20:00,7393000.0,7394000.0,7377000.0,7389000.0,44.76480948,330608968.85688
2018-04-11 01:30:00,7383000.0,7391000.0,7379000.0,7379000.0,25.78700577,190483631.79383
2018-04-11 01:40:00,7383000.0,7394000.0,7379000.0,7384000.0,54.03888391,399285344.69021
2018-04-11 01:50:00,7387000.0,7396000.0,7384000.0,7390000.0,41.28669951,305128088.81399
2018-04-11 02:00:00,7391000.0,7394000.0,7384000.0,7387000.0,29.30250406,216437014.05935
2018-04-11 02:10:00,7385000.0,7412000.0,7385000.0,7392000.0,64.83263564,479765986.38537
2018-04-11 02:20:00,7392000.0,7406000.0,7391000.0,7405000.0,30.21235461,223464359.506
2018-04-11 02:30:00,7405000.0,7411000.0,7395000.0,7398000.0,60.68215449,449359604.74402
2018-04-11 02:40:00,7398000.0,7404000.0,7398000.0,7399000.0,22.43700821,166065722.59817
2018-04-11 02:50:00,7399000.0,7412000.0,7396000.0,7399000.0,62.2475267,460762634.17974
2018-04-11 03:00:00,7399000.0,7416000.0,7397000.0,7402000.0,52.0035155,385197398.92702
2018-04-11 03:10:00,7406000.0,7409000.0,7397000.0,7401000.0,20.40019348,151025349.17342
2018-04-11 03:20:00,7401000.0,7401000.0,7393000.0,7396000.0,14.7633241,109202606.67039
2018-04-11 03:30:00,7393000.0,7404000.0,7388000.0,7397000.0,20.20108223,149398078.02953
2018-04-11 03:40:00,7397000.0,7405000.0,7388000.0,7403000.0,16.0581133,118802646.05945
2018-04-11 03:50:00,7403000.0,7409000.0,7388000.0,7409000.0,18.91166265,139879571.88807
2018-04-11 04:00:00,7409000.0,7415000.0,7390000.0,7399000.0,22.31125017,165128852.53664
2018-04-11 04:10:00,7395000.0,7400000.0,7389000.0,7395000.0,16.33512196,120767004.54715
2018-04-11 04:20:00,7391000.0,7401000.0,7387000.0,7401000.0,22.9449169,169558111.92627
2018-04-11 04:30:00,7401000.0,7409000.0,7391000.0,7401000.0,5.42910205,40177241.89832
2018-04-11 04:40:00,7399000.0,7403000.0,7395000.0,7397000.0,12.32656357,91188514.66395
2018-04-11 04:50:00,7397000.0,7400000.0,7388000.0,7396000.0,16.25491659,120205044.10076
2018-04-11 05:00:00,7396000.0,7400000.0,7379000.0,7388000.0,26.41389345,195139591.60699
2018-04-11 05:10:00,7380000.0,7397000.0,7374000.0,7380000.0,15.34678847,113271809.94802
2018-04-11 05:20:00,7384000.0,7398000.0,7375000.0,7394000.0,13.56463901,100205049.44071
2018-04-11 05:30:00,7394000.0,7411000.0,7390000.0,7391000.0,26.61606743,196904132.96092
2018-04-11 05:40:00,7399000.0,7409000.0,7399000.0,7408000.0,13.01975674,96398643.40089
2018-04-11 05:50:00,7402000.0,7409000.0,7400000.0,7408000.0,17.49673361,129538980.26292
2018-04-11 06:00:00,7408000.0,7408000.0,7395000.0,7403000.0,16.47192534,121888280.08117
2018-04-11 06:10:00,7403000.0,7410000.0,7398000.0,7405000.0,21.41087566,158476680.77189
2018-04-11 06:20:00,7406000.0,7415000.0,7401000.0,7412000.0,31.99557581,237017646.88905
2018-04-11 06:30:00,7412000.0,7412000.0,7400000.0,7404000.0,40.84683809,302455050.03619
2018-04-11 06:40:00,7404000.0,7415000.0,7404000.0,7415000.0,21.51766728,159478989.34714
2018-04-11 06:50:00,7414000.0,7418000.0,7410000.0,7411000.0,26.33250848,195256815.66065
2018-04-11 07:00:00,7413000.0,7420000.0,7413000.0,7416000.0,32.43098983,240557693.40588
2018-04-11 07:10:00,7416000.0,7419000.0,7406000.0,7414000.0,34.49592033,255648195.92378
2018-04-11 07:20:00,7414000.0,7422000.0,7409000.0,7421000.0,59.52585719,441385627.5933
2018-04-11 07:30:00,7423000.0,7449000.0,7413000.0,7431000.0,145.15415993,1079706865.2258
2018-04-11 07:40:00,7431000.0,7431000.0,7383000.0,7383000.0,97.85501533,725510544.75546
2018-04-11 07:50:00,7383000.0,7383000.0,7346000.0,7368000.0,140.36150846,1033833398.87579
2018-04-11 08:00:00,7368000.0,7384000.0,7352000.0,7368000.0,88.35975481,650805910.2831
2018-04-11 08:10:00,7369000.0,7399000.0,7369000.0,7378000.0,68.57924621,506225842.10016
2018-04-11 08:20:00,7377000.0,7391000.0,7373000.0,7384000.0,55.66012075,410830977.0473
2018-04-11 08:30:00,7384000.0,7400000.0,7375000.0,7398000.0,63.59261003,469826233.36072
2018-04-11 08:40:00,7398000.0,7410000.0,7380000.0,7401000.0,97.07341381,718436583.84799
2018-04-11 08:50:00,7405000.0,7440000.0,7401000.0,7428000.0,187.27336652,1389498701.93419
2018-04-11 09:00:00,7428000.0,7444000.0,7402000.0,7423000.0,224.56027031,1667497094.71967
2018-04-11 09:10:00,7423000.0,7425000.0,7375000.0,7382000.0,176.66765612,1308715942.58437
2018-04-11 09:20:00,7378000.0,7398000.0,7370000.0,7396000.0,102.22830122,754761577.18228
2018-04-11 09:30:00,7397000.0,7407000.0,7381000.0,7403000.0,78.11874821,577682885.37306
2018-04-11 09:40:00,7403000.0,7409000.0,7391000.0,7393000.0,69.97574718,517766171.89932
2018-04-11 09:50:00,7394000.0,7415000.0,7394000.0,7410000.0,89.53642168,663150945.90843
2018-04-11 10:00:00,7410000.0,7415000.0,7395000.0,7397000.0,80.44777043,595614078.34514
2018-04-11 10:10:00,7395000.0,7399000.0,7385000.0,7385000.0,73.54583761,543653603.32678
2018-04-11 10:20:00,7388000.0,7405000.0,7381000.0,7404000.0,80.19097008,592917919.40416
2018-04-11 10:30:00,7399000.0,7430000.0,7398000.0,7409000.0,208.97658983,1549673147.25703
2018-04-11 10:40:00,7410000.0,7422000.0,7383000.0,7398000.0,121.95441521,902702044.98071
2018-04-11 10:50:00,7398000.0,7420000.0,7388000.0,7396000.0,109.67108892,812136176.92094
2018-04-11 11:00:00,7396000.0,7424000.0,7393000.0,7397000.0,85.93264462,636672489.84454
2018-04-11 11:10:00,7397000.0,7410000.0,7390000.0,7403000.0,67.70385477,500997060.86677
2018-04-11 11:20:00,7403000.0,7403000.0,7394000.0,7396000.0,52.826785,390792695.69809
2018-04-11 11:30:00,7397000.0,7403000.0,7389000.0,7394000.0,58.13011432,429961550.84311
2018-04-11 11:40:00,7394000.0,7401000.0,7383000.0,7397000.0,68.38461316,505496541.51095
2018-04-11 11:50:00,7397000.0,7398000.0,7383000.0,7396000.0,48.30315979,356964722.01793
2018-04-11 12:00:00,7396000.0,7399000.0,7389000.0,7393000.0,29.57102242,218609967.17268
2018-04-11 12:10:00,7393000.0,7398000.0,7380000.0,7380000.0,61.31007692,452985291.24357
2018-04-11 12:20:00,7380000.0,7390000.0,7378000.0,7378000.0,40.23278685,296962501.31706
2018-04-11 12:30:00,7378000.0,7380000.0,7364000.0,7368000.0,72.86571024,537006268.17589
2018-04-11 12:40:00,7368000.0,7373000.0,7354000.0,7358000.0,64.93881222,478117699.56092
2018-04-11 12:50:00,7356000.0,7369000.0,7355000.0,7358000.0,67.51512812,497012114.13965
2018-04-11 13:00:00,7358000.0,7368000.0,7351000.0,7368000.0,72.2560255,531539432.52368
2018-04-11 13:10:00,7366000.0,7379000.0,7360000.0,7368000.0,64.2830375,473939930.13013
2018-04-11 13:20:00,7368000.0,7377000.0,7361000.0,7371000.0,42.85489384,315828155.17345
2018-04-11 13:30:00,7371000.0,7375000.0,7360000.0,7373000.0,54.57465745,402116765.35595
2018-04-11 13:40:00,7373000.0,7380000.0,7372000.0,7374000.0,52.40192279,386439955.8376
2018-04-11 13:50:00,7374000.0,7377000.0,7360000.0,7370000.0,72.86077656,536862048.6175
2018-04-11 14:00:00,7370000.0,7398000.0,7369000.0,7391000.0,94.04503568,694614354.83555
2018-04-11 14:10:00,7391000.0,7396000.0,7383000.0,7391000.0,71.77335925,530380686.67755
2018-04-11 14:20:00,7391000.0,7398000.0,7385000.0,7391000.0,80.13787153,592336138.2091
2018-04-11 14:30:00,7391000.0,7392000.0,7368000.0,7383000.0,120.91150686,892350087.13089
2018-04-11 14:40:00,7373000.0,7383000.0,7363000.0,7376000.0,129.33514852,953410542.2507
2018-04-11 14:50:00,7376000.0,7389000.0,7369000.0,7378000.0,179.28928152,1323023824.49675
2018-04-11 15:00:00,7377000.0,7382000.0,7363000.0,7379000.0,85.60937413,631074399.31896
2018-04-11 15:10:00,7379000.0,7383000.0,7361000.0,7378000.0,122.72961576,904800084.88207
2018-04-11 15:20:00,7368000.0,7379000.0,7365000.0,7366000.0,48.43429463,356986847.27712
2018-04-11 15:30:00,7367000.0,7378000.0,7356000.0,7370000.0,92.99408297,684743949.56545
2018-04-11 15:40:00,7370000.0,7375000.0,7362000.0,7364000.0,79.06340259,582491395.80834
2018-04-11 15:50:00,7364000.0,7370000.0,7361000.0,7370000.0,45.94361341,338403448.64289
2018-04-11 16:00:00,7370000.0,7380000.0,7363000.0,7372000.0,67.94019374,500756731.81208
2018-04-11 16:10:00,7368000.0,7380000.0,7362000.0,7371000.0,67.82219987,499776356.05193
2018-04-11 16:20:00,7371000.0,7377000.0,7366000.0,7368000.0,50.85456953,374884763.79596
2018-04-11 16:30:00,7368000.0,7379000.0,7362000.0,7377000.0,64.018586,471822685.21704
2018-04-11 16:40:00,7375000.0,7380000.0,7364000.0,7377000.0,57.39614917,423281872.35874
2018-04-11 16:50:00,7377000.0,7382000.0,7372000.0,7379000.0,36.62784449,270262386.56797
2018-04-11 17:00:00,7378000.0,7400000.0,7374000.0,7397000.0,72.90032716,538600330.64372
