,open,high,low,close,volume,value
2020-09-15 00:00:00,12610000.0,12640000.0,12608000.0,12640000.0,23.59469587,297831856.33863
2020-09-15 00:10:00,12639000.0,12660000.0,12617000.0,12660000.0,22.72767567,287283311.97741
2020-09-15 00:20:00,12659000.0,12670000.0,12636000.0,12651000.0,55.42197044,700941887.01265
2020-09-15 00:30:00,12652000.0,12662000.0,12634000.0,12662000.0,24.40338068,308812291.75974
2020-09-15 00:40:00,12664000.0,12680000.0,12654000.0,12671000.0,20.05179897,254109819.80876
2020-09-15 00:50:00,12671000.0,12683000.0,12667000.0,12673000.0,25.7729801,326685438.10924
2020-09-15 01:00:00,12667000.0,12736000.0,12667000.0,12725000.0,48.36123785,614527873.13596
2020-09-15 01:10:00,12725000.0,12729000.0,12651000.0,12685000.0,36.41023853,462019880.50821
2020-09-15 01:20:00,12673000.0,12680000.0,12650000.0,12664000.0,13.24246038,167647264.3048
2020-09-15 01:30:00,12669000.0,12671000.0,12650000.0,12655000.0,6.73936333,85335254.0178
2020-09-15 01:40:00,12655000.0,12713000.0,12655000.0,12701000.0,7.68357842,97468427.6694
2020-09-15 01:50:00,12701000.0,12711000.0,12698000.0,12704000.0,5.62401679,71439868.03961
2020-09-15 02:00:00,12704000.0,12720000.0,12666000.0,12683000.0,23.43632574,297488739.30033
2020-09-15 02:10:00,12680000.0,12684000.0,12650000.0,12662000.0,8.14666854,103165544.35584
2020-09-15 02:20:00,12650000.0,12667000.0,12648000.0,12667000.0,7.02581178,88922061.68095
2020-09-15 02:30:00,12667000.0,12667000.0,12649000.0,12655000.0,9.02015119,114203486.80593
2020-09-15 02:40:00,12666000.0,12669000.0,12655000.0,12662000.0,2.07405231,26263387.12323
2020-09-15 02:50:00,12666000.0,12677000.0,12654000.0,12676000.0,3.23484319,40977525.12948
2020-09-15 03:00:00,12676000.0,12677000.0,12656000.0,12660000.0,1.43908176,18224986.50949
2020-09-15 03:10:00,12676000.0,12676000.0,12654000.0,12654000.0,4.16056275,52664243.98926
2020-09-15 03:20:00,12654000.0,12668000.0,12639000.0,12649000.0,7.00387761,88626147.84213
2020-09-15 03:30:00,12645000.0,12655000.0,12639000.0,12645000.0,4.98265719,63017767.54511
2020-09-15 03:40:00,12654000.0,12654000.0,12637000.0,12641000.0,6.42977598,81269843.68473
2020-09-15 03:50:00,12653000.0,12653000.0,12632000.0,12647000.0,3.96601484,50157539.74251
2020-09-15 04:00:00,12647000.0,12659000.0,12635000.0,12659000.0,4.12086924,52130855.52144
2020-09-15 04:10:00,12659000.0,12669000.0,12649000.0,12669000.0,2.89164925,36615801.86461
2020-09-15 04:20:00,12669000.0,12669000.0,12651000.0,12651000.0,3.46722106,43912719.85689
2020-09-15 04:30:00,12665000.0,12665000.0,12659000.0,12661000.0,4.59505587,58194600.03097
2020-09-15 04:40:00,12661000.0,12669000.0,12659000.0,12669000.0,6.66071008,84341670.89648
2020-09-15 04:50:00,12669000.0,12671000.0,12652000.0,12671000.0,3.12658136,39605872.66258
2020-09-15 05:00:00,12671000.0,12679000.0,12650000.0,12664000.0,2.88692837,36580874.19799
2020-09-15 05:10:00,12679000.0,12690000.0,12660000.0,12688000.0,4.87587889,61842060.10383
2020-09-15 05:20:00,12690000.0,12701000.0,12680000.0,12699000.0,3.21664581,40842589.99713
2020-09-15 05:30:00,12698000.0,12702000.0,12682000.0,12693000.0,3.61393578,45887492.54349
2020-09-15 05:40:00,12693000.0,12693000.0,12672000.0,12688000.0,2.31312512,29336600.86003
2020-09-15 05:50:00,12689000.0,12689000.0,12667000.0,12682000.0,2.02316611,25649414.83325
2020-09-15 06:00:00,12682000.0,12693000.0,12664000.0,12690000.0,8.85452646,112333206.33291
2020-09-15 06:10:00,12690000.0,12693000.0,12672000.0,12687000.0,5.74352925,72855446.71868
2020-09-15 06:20:00,12687000.0,12688000.0,12659000.0,12668000.0,4.33553586,54927469.68696
2020-09-15 06:30:00,12688000.0,12692000.0,12672000.0,12692000.0,6.57571522,83422606.59543
2020-09-15 06:40:00,12692000.0,12700000.0,12682000.0,12695000.0,5.15251382,65400072.71971
2020-09-15 06:50:00,12695000.0,12701000.0,12683000.0,12700000.0,8.97362821,113898674.16952
2020-09-15 07:00:00,12700000.0,12730000.0,12700000.0,12723000.0,34.23671936,435509052.29106
2020-09-15 07:10:00,12724000.0,12735000.0,12714000.0,12725000.0,19.5072531,248239638.18618
2020-09-15 07:20:00,12725000.0,12725000.0,12698000.0,12700000.0,9.30279233,118186303.06162
2020-09-15 07:30:00,12698000.0,12705000.0,12673000.0,12677000.0,10.05247842,127518313.64399
2020-09-15 07:40:00,12677000.0,12677000.0,12654000.0,12672000.0,16.5454881,209535675.37482
2020-09-15 07:50:00,12672000.0,12672000.0,12643000.0,12646000.0,24.40693898,308825469.75083
2020-09-15 08:00:00,12646000.0,12663000.0,12620000.0,12624000.0,15.86014168,200520291.69828
2020-09-15 08:10:00,12624000.0,12642000.0,12623000.0,12625000.0,12.63613824,159642376.44621
2020-09-15 08:20:00,12637000.0,12652000.0,12603000.0,12652000.0,14.51922603,183244603.59025
2020-09-15 08:30:00,12651000.0,12658000.0,12635000.0,12655000.0,17.35641669,219524819.80429
2020-09-15 08:40:00,12655000.0,12657000.0,12636000.0,12646000.0,15.24362054,192747146.10033
2020-09-15 08:50:00,12647000.0,12660000.0,12628000.0,12659000.0,19.57051878,247518270.96004
