,open,high,low,close,volume,value
2018-11-18 00:00:00,6381000.0,6388000.0,6369000.0,6384000.0,11.08833559,70733122.64317
2018-11-18 00:10:00,6385000.0,6388000.0,6374000.0,6374000.0,7.76273409,49548034.97401
2018-11-18 00:20:00,6373000.0,6384000.0,6368000.0,6376000.0,1.35457945,8635629.09612
2018-11-18 00:30:00,6376000.0,6378000.0,6366000.0,6375000.0,6.44968828,41108565.30824
2018-11-18 00:40:00,6375000.0,6378000.0,6363000.0,6365000.0,12.66922177,80729336.61972
2018-11-18 00:50:00,6369000.0,6374000.0,6361000.0,6361000.0,10.02544264,63837574.70974
2018-11-18 01:00:00,6362000.0,6387000.0,6361000.0,6377000.0,10.71888875,68370539.94651
2018-11-18 01:10:00,6377000.0,6388000.0,6375000.0,6388000.0,16.72431864,106757349.64762
2018-11-18 01:20:00,6379000.0,6388000.0,6377000.0,6385000.0,6.2428518,39844749.49744
2018-11-18 01:30:00,6385000.0,6388000.0,6373000.0,6373000.0,8.3553601,53298268.73422
2018-11-18 01:40:00,6373000.0,6396000.0,6373000.0,6386000.0,12.69342216,81114641.94833
2018-11-18 01:50:00,6385000.0,6432000.0,6378000.0,6421000.0,66.50722504,425821250.20272
2018-11-18 02:00:00,6422000.0,6433000.0,6405000.0,6414000.0,31.80420345,204149682.51653
2018-11-18 02:10:00,6414000.0,6414000.0,6393000.0,6400000.0,10.68563421,68422078.43626
2018-11-18 02:20:00,6397000.0,6421000.0,6385000.0,6386000.0,26.17862102,167599189.90689
2018-11-18 02:30:00,6386000.0,6393000.0,6380000.0,6383000.0,8.97317538,57291926.54049
2018-11-18 02:40:00,6383000.0,6392000.0,6374000.0,6375000.0,6.50228575,41487508.3615
2018-11-18 02:50:00,6377000.0,6387000.0,6372000.0,6373000.0,17.81826333,113622406.08197
2018-11-18 03:00:00,6373000.0,6382000.0,6373000.0,6376000.0,6.549927,41774136.91033
2018-11-18 03:10:00,6376000.0,6388000.0,6372000.0,6375000.0,9.7454033,62127500.75815
2018-11-18 03:20:00,6376000.0,6387000.0,6367000.0,6375000.0,10.91142737,69558205.70132
2018-11-18 03:30:00,6380000.0,6380000.0,6367000.0,6378000.0,7.91804369,50470715.98896
2018-11-18 03:40:00,6378000.0,6390000.0,6365000.0,6375000.0,11.84819453,75516864.5093
2018-11-18 03:50:00,6371000.0,6373000.0,6365000.0,6365000.0,15.88669582,101133605.71355
2018-11-18 04:00:00,6365000.0,6375000.0,6364000.0,6374000.0,5.50875467,35073379.40089
2018-11-18 04:10:00,6375000.0,6376000.0,6364000.0,6366000.0,8.02373261,51122483.34903
2018-11-18 04:20:00,6366000.0,6374000.0,6366000.0,6370000.0,3.45890747,22034433.37021
2018-11-18 04:30:00,6370000.0,6380000.0,6369000.0,6379000.0,4.34271362,27679016.1353
2018-11-18 04:40:00,6379000.0,6391000.0,6370000.0,6371000.0,7.67336388,48935066.00046
2018-11-18 04:50:00,6371000.0,6377000.0,6367000.0,6367000.0,6.10319525,38878380.86118
2018-11-18 05:00:00,6369000.0,6376000.0,6364000.0,6373000.0,8.40525366,53509784.60489
2018-11-18 05:10:00,6373000.0,6382000.0,6364000.0,6371000.0,6.23038431,39707859.40766
2018-11-18 05:20:00,6380000.0,6395000.0,6371000.0,6376000.0,6.2188727,39702217.88571
2018-11-18 05:30:00,6377000.0,6385000.0,6373000.0,6375000.0,3.42309344,21836121.2575
2018-11-18 05:40:00,6375000.0,6385000.0,6374000.0,6379000.0,5.39955599,34438634.7751
2018-11-18 05:50:00,6380000.0,6387000.0,6370000.0,6373000.0,5.43467794,34663012.52197
2018-11-18 06:00:00,6375000.0,6390000.0,6375000.0,6387000.0,2.26005762,14430293.08555
2018-11-18 06:10:00,6381000.0,6393000.0,6373000.0,6374000.0,4.98354561,31792390.00381
2018-11-18 06:20:00,6381000.0,6395000.0,6377000.0,6382000.0,14.98020524,95725524.70199
2018-11-18 06:30:00,6391000.0,6391000.0,6376000.0,6383000.0,2.78723774,17785992.14159
2018-11-18 06:40:00,6379000.0,6390000.0,6379000.0,6387000.0,4.93620941,31518085.61902
2018-11-18 06:50:00,6389000.0,6390000.0,6381000.0,6382000.0,8.36353848,53404510.80638
2018-11-18 07:00:00,6383000.0,6384000.0,6372000.0,6375000.0,11.7447304,74908159.33182
2018-11-18 07:10:00,6376000.0,6393000.0,6375000.0,6380000.0,6.08871077,38853480.16112
2018-11-18 07:20:00,6379000.0,6388000.0,6379000.0,6384000.0,3.39515088,21665666.22989
2018-11-18 07:30:00,6384000.0,6385000.0,6379000.0,6384000.0,4.095433,26134289.8986
2018-11-18 07:40:00,6379000.0,6385000.0,6376000.0,6385000.0,6.10774868,38962125.01544
