,open,high,low,close,volume,value
2021-02-02 21:40:00,37380000.0,37524000.0,37352000.0,37513000.0,39.88388442,1492756216.66476
2021-02-02 21:50:00,37513000.0,37528000.0,37355000.0,37393000.0,43.49916824,1627191391.14557
2021-02-02 22:00:00,37393000.0,37508000.0,37372000.0,37454000.0,57.94096256,2170519750.07016
2021-02-02 22:10:00,37456000.0,37699000.0,37451000.0,37697000.0,93.49925373,3512423510.87447
2021-02-02 22:20:00,37695000.0,37710000.0,37474000.0,37474000.0,88.11720403,3314796910.85309
2021-02-02 22:30:00,37473000.0,37494000.0,37362000.0,37382000.0,96.58124443,3612644450.4391
2021-02-02 22:40:00,37382000.0,37457000.0,37378000.0,37404000.0,63.86852634,2388498265.64764
2021-02-02 22:50:00,37404000.0,37520000.0,37403000.0,37451000.0,61.45144565,2303085002.82342
2021-02-02 23:00:00,37451000.0,37520000.0,37450000.0,37458000.0,39.47375431,1479199721.13127
2021-02-02 23:10:00,37458000.0,37494000.0,37230000.0,37298000.0,84.43266162,3155345507.50602
2021-02-02 23:20:00,37298000.0,37301000.0,37112000.0,37229000.0,90.17283432,3357602506.2753
2021-02-02 23:30:00,37229000.0,37400000.0,37100000.0,37366000.0,92.27500972,3435726933.84969
2021-02-02 23:40:00,37366000.0,37420000.0,37311000.0,37379000.0,32.96855958,1232172720.98494
2021-02-02 23:50:00,37380000.0,37416000.0,37350000.0,37355000.0,25.7269796,961626005.70013
2021-02-03 00:00:00,37353000.0,37406000.0,37147000.0,37306000.0,42.01071974,1566081005.60835
2021-02-03 00:10:00,37343000.0,37620000.0,37296000.0,37612000.0,80.32032801,3009975230.54248
2021-02-03 00:20:00,37605000.0,37643000.0,37320000.0,37383000.0,92.03490013,3456769049.29412
2021-02-03 00:30:00,37380000.0,37383000.0,37190000.0,37295000.0,55.60466745,2072531581.98726
2021-02-03 00:40:00,37295000.0,37332000.0,37238000.0,37293000.0,28.76773487,1072899699.84592
2021-02-03 00:50:00,37293000.0,37330000.0,37237000.0,37305000.0,21.15626371,788698923.8997
2021-02-03 01:00:00,37305000.0,37490000.0,37278000.0,37438000.0,41.4396903,1548439031.06881
2021-02-03 01:10:00,37439000.0,37439000.0,37280000.0,37324000.0,33.13236485,1237508714.14717
2021-02-03 01:20:00,37349000.0,37450000.0,37299000.0,37443000.0,53.2441439,1989453348.47542
2021-02-03 01:30:00,37444000.0,37621000.0,37380000.0,37600000.0,90.52463465,3395318970.2776
2021-02-03 01:40:00,37579000.0,37639000.0,37479000.0,37479000.0,52.8609333,1985951918.71849
2021-02-03 01:50:00,37498000.0,37510000.0,37300000.0,37346000.0,49.60751652,1855933327.7263
2021-02-03 02:00:00,37346000.0,37450000.0,37227000.0,37227000.0,41.1433971,1535790935.38532
2021-02-03 02:10:00,37227000.0,37341000.0,37222000.0,37327000.0,26.14145998,974800718.1401
2021-02-03 02:20:00,37308000.0,37330000.0,37296000.0,37330000.0,19.7033626,735105261.76772
2021-02-03 02:30:00,37305000.0,37363000.0,37304000.0,37341000.0,27.26865148,1017884837.47592
2021-02-03 02:40:00,37341000.0,37398000.0,37293000.0,37302000.0,22.10768298,825134565.24
2021-02-03 02:50:00,37302000.0,37343000.0,37290000.0,37296000.0,7.23134001,269768274.6131
