,open,high,low,close,volume,value
2021-10-02 00:00:00,57058000.0,57222000.0,57033000.0,57107000.0,40.77775504,2330573774.98323
2021-10-02 00:10:00,57107000.0,57341000.0,57021000.0,57330000.0,62.73663536,3591553662.26155
2021-10-02 00:20:00,57331000.0,57588000.0,57330000.0,57365000.0,94.96448221,5458715563.65196
2021-10-02 00:30:00,57385000.0,57395000.0,57350000.0,57378000.0,29.49063402,1691819134.6169
2021-10-02 00:40:00,57378000.0,57390000.0,57085000.0,57275000.0,32.08471239,1838265384.32602
2021-10-02 00:50:00,57275000.0,57379000.0,57235000.0,57341000.0,27.78755246,1592086446.58581
2021-10-02 01:00:00,57341000.0,57350000.0,57136000.0,57220000.0,38.06743613,2179655740.91142
2021-10-02 01:10:00,57220000.0,57291000.0,57147000.0,57248000.0,21.41261172,1225442868.92417
2021-10-02 01:20:00,57248000.0,57695000.0,57135000.0,57343000.0,71.16411664,4083561500.06108
2021-10-02 01:30:00,57343000.0,57443000.0,57244000.0,57411000.0,29.47047811,1689652490.37409
2021-10-02 01:40:00,57412000.0,57567000.0,57332000.0,57347000.0,36.76348938,2111844770.40714
2021-10-02 01:50:00,57347000.0,57476000.0,57168000.0,57384000.0,30.63001323,1754776705.10581
2021-10-02 02:00:00,57385000.0,57476000.0,57313000.0,57401000.0,15.82978344,908515378.13829
2021-10-02 02:10:00,57423000.0,57476000.0,57320000.0,57322000.0,12.07505529,692862634.40508
2021-10-02 02:20:00,57322000.0,57402000.0,57320000.0,57390000.0,10.61427809,608788839.8498
2021-10-02 02:30:00,57372000.0,57460000.0,57350000.0,57460000.0,11.94057414,685615655.90813
2021-10-02 02:40:00,57462000.0,57624000.0,57365000.0,57588000.0,20.43619795,1174276750.21952
2021-10-02 02:50:00,57588000.0,57588000.0,57422000.0,57487000.0,12.04415611,692547716.85606
2021-10-02 03:00:00,57528000.0,57629000.0,57481000.0,57506000.0,22.07449968,1270582711.16341
2021-10-02 03:10:00,57572000.0,57574000.0,57375000.0,57496000.0,17.85356631,1026176413.84196
2021-10-02 03:20:00,57496000.0,57771000.0,57453000.0,57564000.0,16.11031079,928352301.47501
2021-10-02 03:30:00,57639000.0,57822000.0,57560000.0,57731000.0,21.51617325,1242492788.01304
2021-10-02 03:40:00,57731000.0,57857000.0,57699000.0,57708000.0,16.77989546,969332787.25849
2021-10-02 03:50:00,57714000.0,57714000.0,57629000.0,57652000.0,10.72613852,618474994.47939
2021-10-02 04:00:00,57654000.0,58005000.0,57652000.0,57712000.0,51.70432236,2995586006.40065
2021-10-02 04:10:00,57770000.0,57966000.0,57653000.0,57818000.0,31.2409966,1806880475.1353
2021-10-02 04:20:00,57897000.0,57947000.0,57800000.0,57859000.0,32.19654215,1862500576.9157
2021-10-02 04:30:00,57859000.0,57937000.0,57768000.0,57821000.0,17.96477038,1038927590.32208
2021-10-02 04:40:00,57821000.0,57859000.0,57792000.0,57858000.0,16.77531241,970326904.78733
2021-10-02 04:50:00,57859000.0,57926000.0,57816000.0,57881000.0,10.30213052,596014024.95895
2021-10-02 05:00:00,57892000.0,57999000.0,57856000.0,57998000.0,11.68860338,677105435.6412
2021-10-02 05:10:00,57998000.0,57998000.0,57817000.0,57819000.0,15.28970982,885197136.15722
2021-10-02 05:20:00,57868000.0,57868000.0,57755000.0,57757000.0,14.62615555,845593114.80032
2021-10-02 05:30:00,57757000.0,58026000.0,57756000.0,58025000.0,37.75684204,2185356637.83227
2021-10-02 05:40:00,58026000.0,58092000.0,57849000.0,57975000.0,22.27999141,1291483965.40289
2021-10-02 05:50:00,57975000.0,58200000.0,57927000.0,58199000.0,41.66087485,2420118372.62458
2021-10-02 06:00:00,58170000.0,58341000.0,58128000.0,58319000.0,58.78775706,3425055604.30878
2021-10-02 06:10:00,58322000.0,58524000.0,58244000.0,58516000.0,72.153316,4215288828.20718
2021-10-02 06:20:00,58516000.0,58582000.0,58439000.0,58471000.0,41.46022621,2425531432.79353
2021-10-02 06:30:00,58472000.0,58472000.0,58149000.0,58253000.0,56.32619495,3283340595.1179
2021-10-02 06:40:00,58253000.0,58401000.0,58179000.0,58372000.0,40.39834401,2355279072.52624
2021-10-02 06:50:00,58399000.0,58478000.0,58274000.0,58478000.0,32.94089798,1922152942.42505
2021-10-02 07:00:00,58478000.0,58534000.0,58327000.0,58476000.0,41.02602346,2397334448.75923
2021-10-02 07:10:00,58476000.0,58499000.0,58400000.0,58452000.0,41.79709216,2443158854.70756
2021-10-02 07:20:00,58452000.0,58500000.0,58327000.0,58351000.0,42.57752449,2487484301.94982
2021-10-02 07:30:00,58351000.0,58387000.0,58093000.0,58099000.0,80.82187482,4704557967.99549
2021-10-02 07:40:00,58099000.0,58204000.0,57931000.0,58160000.0,66.36176065,3852977606.15969
